datetime,temperature,humidity,weather
2026-05-09 18:00:00,30.22,26,Clouds
2026-05-09 21:00:00,29.44,32,Clouds
2026-05-10 00:00:00,27.75,41,Clouds
2026-05-10 03:00:00,30.77,30,Clouds
2026-05-10 06:00:00,37.76,15,Clouds
2026-05-10 09:00:00,40.19,11,Clouds
2026-05-10 12:00:00,39.75,10,Clouds
2026-05-10 15:00:00,33.6,28,Clouds
2026-05-10 18:00:00,30.76,33,Clouds
2026-05-10 21:00:00,27.51,44,Clouds
2026-05-11 00:00:00,26.21,53,Clouds
2026-05-11 03:00:00,30.82,36,Clear
2026-05-11 06:00:00,39.14,14,Clear
2026-05-11 09:00:00,41.56,11,Clear
2026-05-11 12:00:00,37.2,24,Clouds
2026-05-11 15:00:00,31.32,38,Clouds
2026-05-11 18:00:00,28.98,38,Clouds
2026-05-11 21:00:00,27.02,45,Clouds
2026-05-12 00:00:00,25.48,56,Clouds
2026-05-12 03:00:00,29.54,42,Clear
2026-05-12 06:00:00,36.66,21,Clouds
2026-05-12 09:00:00,39.5,18,Clear
2026-05-12 12:00:00,37.18,26,Clear
2026-05-12 15:00:00,30.51,48,Clouds
2026-05-12 18:00:00,28.05,54,Clouds
2026-05-12 21:00:00,26.34,57,Clouds
2026-05-13 00:00:00,25.17,70,Clouds
2026-05-13 03:00:00,28.69,52,Clouds
2026-05-13 06:00:00,36.05,23,Clouds
2026-05-13 09:00:00,38.08,21,Clear
2026-05-13 12:00:00,34.51,29,Clouds
2026-05-13 15:00:00,29.71,43,Clear
2026-05-13 18:00:00,26.63,62,Clear
2026-05-13 21:00:00,24.5,76,Clouds
2026-05-14 00:00:00,23.57,87,Clouds
2026-05-14 03:00:00,28.09,56,Clouds
2026-05-14 06:00:00,36.08,22,Clouds
2026-05-14 09:00:00,38.47,19,Clouds
2026-05-14 12:00:00,34.09,34,Clouds
2026-05-14 15:00:00,29.15,49,Clouds
